,stop_name,parent_station,stop_id,stop_lat,stop_lon,location_type,platform_code,utm_x,utm_y,inside_munich
18033,Amalienburgstraße,473056.0,112998,48.16541,11.494402,,,685469.1900901851,5337694.07527059,True
18034,Amalienburgstraße,473056.0,305614,48.165356,11.494402,,,685469.3848829617,5337688.073843752,True
18035,Amalienburgstraße,473056.0,460716,48.16573,11.494061,,,685442.6828996115,5337728.816437659,True
18036,Amalienburgstraße,473056.0,516039,48.165745,11.4931,,,685371.1798466118,5337728.165180649,True
18037,Amalienburgstraße,473056.0,72240,48.165787,11.494097,,,685445.1538572272,5337735.238141525,True
18056,Amalienstraße,66788.0,225411,48.147747,11.576454,,1,691635.4594258338,5335932.337459127,True
18810,Ammerseestraße,504704.0,57671,48.126163,11.501831,,,686163.4817034679,5333350.229699464,True
18811,Ammerseestraße,504704.0,591639,48.126087,11.502316,,,686199.8433583858,5333342.9574823,True
18812,Ammerseestraße,504704.0,681139,48.124893,11.502828,,,686242.2581011171,5333211.499907358,True
18813,Ammerseestraße,504704.0,76384,48.12661,11.502577,,,686217.3716656928,5333401.714025788,True
19013,Ampfingstraße,301692.0,309371,48.130817,11.616429,,,694672.5937724949,5334151.230755431,True
19014,Ampfingstraße,301692.0,603895,48.13108,11.615253,,,694584.1071528138,5334177.482843541,True
19015,Ampfingstraße,301692.0,7062,48.130398,11.615235,,,694585.346051436,5334101.642642902,True
19016,"Ampfingstraße, München",301692.0,169690,48.130367,11.615162,,,694580.0321098256,5334098.012702308,True
19017,"Ampfingstraße, München",301692.0,383336,48.130142,11.61563,,,694615.7014877426,5334074.191520489,True
19022,Amphionpark,387237.0,508108,48.173405,11.515324,,,686995.6348520068,5338633.319792993,True
19023,Amphionpark,387237.0,629961,48.173485,11.51474,,,686951.9308827036,5338640.78985587,True
19091,Amsterdamer Straße,166002.0,222736,48.16956,11.59937,,1,693257.8223614241,5338413.936793109,True
19446,An der Point,201948.0,221501,48.140865,11.685204,,,699750.3193957047,5335444.328429166,True
19447,An der Point,201948.0,436984,48.140873,11.685627,,,699781.7524818223,5335446.316661177,True
19782,Andernacher Straße,452990.0,149354,48.18563,11.524514,,,687634.1527477789,5340014.379170436,True
19783,Andernacher Straße,452990.0,527999,48.18525,11.524325,,,687621.4940152804,5339971.685340422,True
19867,Andreas-Vöst-Straße,335214.0,302580,48.121735,11.502757,,,686248.3975446002,5332860.357970664,True
19868,Andreas-Vöst-Straße,335214.0,676429,48.12143,11.502397,,,686222.7121460021,5332825.589507132,True
19995,Angerlohstraße,324372.0,126839,48.1891,11.472717,,,683772.2015699783,5340274.8300592145,True
19996,Angerlohstraße,324372.0,198847,48.189034,11.472376,,,683747.0962669959,5340266.679333985,True
20201,Anhalter Platz,17339.0,250830,48.186596,11.562486,,,690452.6294065418,5340215.170189045,True
20202,Anhalter Platz,17339.0,267270,48.186428,11.56227,,,690437.1994725625,5340195.963706919,True
20203,Anhalter Platz,17339.0,475597,48.186974,11.561767,,,690397.7939354818,5340255.3979554465,True
20204,Anhalter Platz,17339.0,4976,48.186733,11.561982,,,690414.6654049734,5340229.146726561,True
20669,Anneliese-Fleyenschmidt-Straße,342718.0,190831,48.101257,11.616896,,,694819.1241008579,5330867.244593226,True
20670,Anneliese-Fleyenschmidt-Straße,342718.0,315143,48.10112,11.616923,,,694821.6519835115,5330852.087423104,True
20673,Annemarie-Renger-Straße,136208.0,261159,48.14493,11.4067,,,679019.8737673735,5335210.047289318,True
20674,Annemarie-Renger-Straße,136208.0,601904,48.144802,11.406457,,,679002.2449129778,5335195.25583891,True
20708,Anni-Albers-Straße,583629.0,488804,48.17979,11.589291,,,692470.2121025894,5339525.568295344,True
20709,Anni-Albers-Straße,583629.0,506916,48.178894,11.589821,,,692512.9623633935,5339427.317448956,True
20710,Anni-Albers-Straße,583629.0,666697,48.179718,11.589139,,,692459.1839673189,5339517.185697672,True
21252,Anton-Ditt-Bogen,537448.0,454937,48.19192,11.582329,,,691907.4282249302,5340856.244245514,True
21253,Anton-Ditt-Bogen,537448.0,635586,48.191555,11.582159,,,691896.1591064003,5340815.254535113,True
21272,Anton-Will-Straße,162359.0,230091,48.205967,11.586506,,,692165.2491008062,5342427.831288442,True
21273,Anton-Will-Straße,162359.0,71871,48.20532,11.585958,,,692126.959545328,5342354.554501907,True
21436,Anzinger Straße,193467.0,216649,48.121147,11.605614,,,693904.3922257528,5333049.222916861,True
21437,Anzinger Straße,193467.0,541527,48.121273,11.605641,,,693905.926882022,5333063.294103774,True
21921,Appenzeller Straße,231083.0,226367,48.093044,11.475412,,2,684316.2078044731,5329605.8730767695,True
21952,Arabellapark,120190.0,12791,48.153217,11.619897,,,694845.7655546742,5336649.462549961,True
21953,Arabellapark,120190.0,328587,48.153515,11.622062,,,695005.6378322374,5336688.071381258,True
21954,Arabellapark,120190.0,432857,48.15331,11.620184,,,694866.7562161265,5336660.525759453,True
21955,Arabellapark,120190.0,576454,48.153316,11.620786,,,694911.501653782,5336662.718910379,True
21956,Arabellapark,120190.0,585061,48.153214,11.62049,,,694889.8758861193,5336650.632489726,True
21957,Arabellapark,120190.0,645532,48.153214,11.620804,,,694913.2267714541,5336651.428667027,True
21958,Arabellapark,120190.0,659295,48.15358,11.622035,,,695003.3835275965,5336695.226732417,True
21960,Arabellapark Nord,103982.0,13004,48.153816,11.620948,,,694921.6540111818,5336718.6977848215,True
21961,Arabellapark Nord,103982.0,155071,48.15355,11.620598,,,694896.6342084156,5336688.248068922,True
21963,Arabellapark/Klinikum Bogenh.,292042.0,282917,48.15361,11.623571,,,695117.4948716603,5336702.45869472,True
21964,Arabellapark/Klinikum Bogenh.,292042.0,290563,48.15379,11.623742,,,695129.5284451451,5336722.897281486,True
21965,Arabellapark/Klinikum Bogenh.,292042.0,441710,48.15371,11.623742,,,695129.8319520857,5336714.006391684,True
21966,Arabellapark/Klinikum Bogenh.,292042.0,604664,48.15389,11.62296,,,695070.9957242724,5336732.026014259,True
21968,Arabellastraße,619329.0,230840,48.153584,11.618576,,,694746.1386391678,5336686.901805379,True
21969,Arabellastraße,619329.0,38492,48.15397,11.616887,,,694619.0749547249,5336725.522528203,True
21970,Arabellastraße,619329.0,613455,48.153496,11.618585,,,694747.1411269208,5336677.144624785,True
21971,Arabellastraße,619329.0,86482,48.15359,11.617022,,,694630.5521655085,5336683.632598292,True
22036,Arcisstraße,226151.0,519349,48.151768,11.570516,,,691178.8817969162,5336364.432208046,True
22037,Arcisstraße,226151.0,554420,48.151733,11.57093,,,691209.8003740958,5336361.572149147,True
22242,"Argelsried Bahnhof, Gilching",226056.0,128172,48.106785,11.300366,,,671237.6093941379,5330728.545758844,False
22243,"Argelsried Bahnhof, Gilching",226056.0,370112,48.10676,11.30026,,,671229.8023642479,5330725.531371436,False
24380,Aschenbrennerstraße,316367.0,430607,48.220028,11.560662,,,690193.1940980012,5343926.199144432,True
24381,Aschenbrennerstraße,316367.0,611865,48.219963,11.560716,,,690197.4455710972,5343919.108941394,True
24720,Aschheimer Straße,242620.0,247420,48.121494,11.613124,,,694461.9185875538,5333106.749619284,True
24721,Aschheimer Straße,242620.0,568011,48.120396,11.612612,,,694427.965523121,5332983.428069072,True
24915,Asmarstraße,503891.0,132511,48.172997,11.407194,,,678958.9248832555,5338330.514267735,True
24916,Asmarstraße,503891.0,182107,48.171974,11.407113,,,678956.4648324314,5338216.631019715,True
25161,Astallerstraße,645060.0,381193,48.135586,11.530335,,,688249.8787256669,5334466.865286956,True
25162,Astallerstraße,645060.0,670409,48.135483,11.530649,,,688273.6145796685,5334456.187012706,True
25727,Aubing,489556.0,250155,48.153793,11.413805,,,679517.4084530995,5336211.631607609,True
25728,Aubing,489556.0,535541,48.153854,11.413751,,,679513.1797881556,5336218.284928497,True
25730,Aubing-Ost-Straße,558011.0,358010,48.155914,11.417704,,,679799.9484285016,5336456.467965843,True
25731,Aubing-Ost-Straße,558011.0,599865,48.15583,11.417713,,,679800.9113392408,5336447.15341802,True
25733,Aubinger Allee,540934.0,260395,48.145985,11.405819,,,678950.6764556101,5335325.246911774,True
25734,Aubinger Allee,540934.0,543469,48.146362,11.405819,,,678949.3652546039,5335367.1459505595,True
26065,Auenbruggerstraße,186343.0,247913,48.181313,11.449594,,,682081.4108249316,5339354.345476417,True
26066,Auenbruggerstraße,186343.0,666286,48.18104,11.449415,,,682069.0736687953,5339323.58059391,True
26433,Auerfeldstraße,508319.0,5460,48.12351,11.596038,,,693182.9532775633,5333287.737098578,True
26434,Auerfeldstraße,508319.0,584525,48.123833,11.596478,,,693214.4811626008,5333324.7393941535,True
27556,August-Everding-Straße,8556.0,413071,48.12532,11.61024,,,694232.8813096375,5333524.666638557,True
27557,August-Everding-Straße,8556.0,503583,48.1258,11.609755,,,694194.9837287101,5333576.786942377,True
27688,Augustenfelder Straße,20337.0,364985,48.20062,11.443998,,,681597.2165068462,5341486.849175726,True
27704,Augustenstraße,327463.0,189934,48.153206,11.565872,,,690828.1804097187,5336512.707305563,True
27705,Augustenstraße,327463.0,654846,48.153046,11.565953,,,690834.7976983439,5336495.126527306,True
27788,Augustin-Rösch-Straße,6626.0,391353,48.20155,11.56439,,,690538.6472503094,5341881.839348272,True
27789,Augustin-Rösch-Straße,6626.0,436472,48.20154,11.564022,,,690511.3433337545,5341879.815163879,True
27790,Augustin-Rösch-Straße,6626.0,532894,48.201218,11.563608,,,690481.7791624351,5341843.0021529095,True
27791,Augustin-Rösch-Straße,6626.0,649849,48.201344,11.563492,,,690472.6933578211,5341856.717810343,True
28213,Aurbacherstraße,254332.0,252578,48.122417,11.590827,,,692799.3003531186,5333153.188384043,True
28214,Aurbacherstraße,254332.0,671569,48.122395,11.589965,,,692735.2407266825,5333148.582713875,True
28319,Aurikelstraße,548610.0,147448,48.108036,11.491043,,,685426.0429813331,5331309.594061656,True
28320,Aurikelstraße,548610.0,558353,48.10834,11.491025,,,685423.6090671858,5331343.33621879,True
