period_start,period_end,line,planned_trips,observed_trips,missing_trips,completeness_percent
2026-09-12 07:10:40,2026-09-13 07:10:40,19,232,0,232,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,190,123,0,123,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,191,69,0,69,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,192,116,0,116,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,1923,1,0,1,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,1929,2,0,2,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,193,187,0,187,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,194,103,0,103,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,195,109,0,109,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,196,85,0,85,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,197,195,0,195,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,198,102,0,102,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,199,80,0,80,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,20,211,0,211,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,21,211,0,211,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,210,199,0,199,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,211,81,0,81,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,212,110,0,110,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,217,93,0,93,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,220,115,0,115,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,221,86,0,86,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,222,31,0,31,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,229,80,0,80,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,23,212,0,212,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,231,117,0,117,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,232,94,0,94,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,233,59,0,59,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,234,96,0,96,0.0
